Unnamed: 0,Review,Original_aspect,Keyword,Product Link,Review Star,Sentiment
1,"I am transitioning all my cleaning and beauty products to all plant-based ones in an effort to reduce toxins in my home. I really like this laundry detergent. I have five young children, and their clothes come out clean every time!","Aesthetics, Safety","Clean, toxins","Amazon.com: ECOS 2x Hypoallergenic Liquid Laundry Detergent, Lavender, 200 loads, 100oz Bottle by Earth Friendly Products (Pack of 2) : Health & Household",5.0,Positive
2,This laundry detergent lasts forever! I save so much money using it and am glad I don't have to give up quality because my clothes are clean and fresh smelling every time. Couldn't pay me to switch to another brand.,"Durability, aesthics","Fresh, clean, forever",,,Positive
3,Both bottles leaked (big mess) - seals were NOT broken,"Inteference, peroformance","broken, leaked",,4.0,Negative
4,This brand also sells an unscented version. This scented version isn't bad; it isn't an overpowering smell and the odor fades gently over time. You can do 200 loads which is a great value. I have sensitive skin and many other laundry detergents give me a rash but I have never had a problem with this brand.,"Safety, intefernce","rash, odor",,,positive
5,"All great, aside from having to find containers to put what was left in. The seam in the bottle cracked and was leaking.","Inteference, peroformance","cracked, leaking",,3.0,Negative
6,The scent is nice but I can't say that I smell this detergent on my laundry when it dries. I bought this because my son has eczema and I don't like having to buy unscented detergents. I think he reacted to it a bit but not bad enough to complain about being itchy.,"intefernce, safety","dries, itchy",,,Negative
7,Well I’ve used this for a while and apparently it’s the reason all our close smell not clean and like they’ve been sitting in the washer for days. I had switched to this because we bought a house on septic and I noticed my detergent I usually used was leaving a white crust over our leech line. I remember being told that certain soaps and detergents are bad for septics systems so I bought this and the leech line area improved extremely and I do not smell the septic anymore however my clothes do not smell clean after being washed. Going to have to switch back to a regular detergent Or find some thing else septic safe,"intefernce, safety","safe, not smell clean",,2.0,Negative
8,"i wanted to like this so bad, but i don’t, I only wear organic deodorants, this no matter how much i use does not get scents out of anything and barely any new stains. I spilled my ashtray on my bedsheets and washed it minutes after the pill and used extra detergent and the ashes are still in my sheets, it also fades clothes. and leaves them harsh.

I love the fact that they are natural/plant powered, for the most part. but i can’t sacrifice smell and cleanliness for that","performance,intefernce, aesthics","fades, harsh, stains",,,Negative
9,"I don’t have sensitive skin, but I had a horrible reaction all over my body after washing my clothes with this detergent!!! I should have read the reviews closer! I will be sticking with Tide from now on. I had to rewash several loads of laundry because of this. Complete waste of money!","Safety, intefernce","horrible reaction, sensitive",,1.0,Negative
10,"Very ineffective on tiny little oil stain spots, even directly applying the detergent onto that area and wash in a machine",performance,ineffective,,,Negative
