,product_name,product_asin,product_link,product_rating,product_review_count
0,Reli Recyclable Eco Friendly Trash Gallon,B07JKFG4HD,https://amazon.com/Reli-Recyclable-Eco-Friendly-Trash-Gallon/dp/B07JKFG4HD,4.6,23
1,Bags Environment Pets Biodegradable Dispenser,B00N3K01LC,https://amazon.com/Bags-Environment-Pets-Biodegradable-Dispenser/dp/B00N3K01LC,4.6,1678
2,Sandwich Reusable Multipurpose Washable Environmentally,B01MY6IUOZ,https://amazon.com/Sandwich-Reusable-Multipurpose-Washable-Environmentally/dp/B01MY6IUOZ,4.2,63
3,YIHONG Produce Reusable Drawstring Colorful,B07G9T9JLK,https://amazon.com/YIHONG-Produce-Reusable-Drawstring-Colorful/dp/B07G9T9JLK,4.9,490
4,Plastic Friendly Drinking Straws Environment,B07CYX6B4Z,https://amazon.com/Plastic-Friendly-Drinking-Straws-Environment/dp/B07CYX6B4Z,3.9,18
5,Original Friendly Through Washable Reusable,B014955KB0,https://amazon.com/Original-Friendly-Through-Washable-Reusable/dp/B014955KB0,4.8,1084
6,Biodegradable Eco Friendly Natural Charcoal Toothbrush,B077Z2WWP8,https://amazon.com/Biodegradable-Eco-Friendly-Natural-Charcoal-Toothbrush/dp/B077Z2WWP8,4.5,891
7,Stainless Reusable Drinking Environment Friendly Straight,B07KXRMGC1,https://amazon.com/Stainless-Reusable-Drinking-Environment-Friendly-Straight/dp/B07KXRMGC1,4.8,23
8,MultiColor Stainless Multi Colored FDA Approved Environment Friendly,B07G7567QC,https://amazon.com/MultiColor-Stainless-Multi-Colored-FDA-Approved-Environment-Friendly/dp/B07G7567QC,4.7,18
9,Reusable Stainless Drinking Environment Friendly Starbucks,B07B87ZRCL,https://amazon.com/Reusable-Stainless-Drinking-Environment-Friendly-Starbucks/dp/B07B87ZRCL,4.7,126
10,Reusable Groceries Waterproof Environment Lightweight,B07TB4T8V1,https://amazon.com/Reusable-Groceries-Waterproof-Environment-Lightweight/dp/B07TB4T8V1,5,47
11,Reusable VERONES Washable Friendly Vegetable,B07D261W6B,https://amazon.com/Reusable-VERONES-Washable-Friendly-Vegetable/dp/B07D261W6B,4.7,184
12,Repurpose Compostable Plant Based Clear 12 ounce,B00NNR3S3S,https://amazon.com/Repurpose-Compostable-Plant-Based-Clear-12-ounce/dp/B00NNR3S3S,4.1,169
13,Ultrasonic Electronic Repellent Upgraded Reject,B07R1VQ8WJ,https://amazon.com/Ultrasonic-Electronic-Repellent-Upgraded-Reject/dp/B07R1VQ8WJ,3.8,45
14,Green Works Compostable Cleaning Biodegradable,B014P0K2OE,https://amazon.com/Green-Works-Compostable-Cleaning-Biodegradable/dp/B014P0K2OE,4.5,232
15,Reusable Stainless Drinking Cleaning Environment,B07MNVN6L6,https://amazon.com/Reusable-Stainless-Drinking-Cleaning-Environment/dp/B07MNVN6L6,4.9,15
16,Biodegradable Recyclable Packaging Double Stitched Small Medium Large,B074TBYVB3,https://amazon.com/Biodegradable-Recyclable-Packaging-Double-Stitched-Small-Medium-Large/dp/B074TBYVB3,4.7,379
17,Lotus Produce Bags vegetable Eco friendly,B07JMHT7N1,https://amazon.com/Lotus-Produce-Bags-vegetable-Eco-friendly/dp/B07JMHT7N1,4.9,101
18,Homeries Refillable Essential Cleaning Environment,B07BN7JV1H,https://amazon.com/Homeries-Refillable-Essential-Cleaning-Environment/dp/B07BN7JV1H,4.4,25
19,Reli Biodegradable Trash Gallon Wholesale,B07JKKX2CP,https://amazon.com/Reli-Biodegradable-Trash-Gallon-Wholesale/dp/B07JKKX2CP,3.9,12
20,Jalousie Reusable Polyester Lightweight Environment,B07DQB6HYX,https://amazon.com/Jalousie-Reusable-Polyester-Lightweight-Environment/dp/B07DQB6HYX,3.6,66
21,COACHELLA Reusable Heavy Duty Vegetables Ecofriendly,B07K7LLFQP,https://amazon.com/COACHELLA-Reusable-Heavy-Duty-Vegetables-Ecofriendly/dp/B07K7LLFQP,4.8,48
22,GREEN ATMOS REUSABLE SHOPPING GROCERY,B07F2LQ3T8,https://amazon.com/GREEN-ATMOS-REUSABLE-SHOPPING-GROCERY/dp/B07F2LQ3T8,4.5,53
23,PETLOFT 300 Count Lemon Scented Durable Biodegradable,B075WPN7QB,https://amazon.com/PETLOFT-300-Count-Lemon-Scented-Durable-Biodegradable/dp/B075WPN7QB,4.2,162
24,purifyou Premium Reusable See Through Shopping,B01ISYOL40,https://amazon.com/purifyou-Premium-Reusable-See-Through-Shopping/dp/B01ISYOL40,4.8,5743
25,VEHHE Straws Stainless Drinking Reusable,B07CZW9V7W,https://amazon.com/VEHHE-Straws-Stainless-Drinking-Reusable/dp/B07CZW9V7W,4.7,790
