"","cluster"
"1",3
"2",3
"3",3
"4",2
"5",2
"6",2
"7",2
"8",2
"9",2
"10",2
"11",2
"12",2
"13",2
"14",3
"15",2
"16",2
"17",2
"18",2
"19",3
"20",3
"21",2
"22",3
"23",3
"24",2
"25",2
"26",3
"27",3
"28",3
"29",2
"30",3
"31",2
"32",3
"33",2
"34",2
"35",2
"36",3
"37",3
"38",2
"39",3
"40",3
"41",3
"42",3
"43",3
"44",2
"45",1
"46",2
"47",2
"48",3
"49",3
"50",3
"51",3
"52",1
"53",3
"54",3
"55",3
"56",3
"57",3
"58",3
"59",2
"60",3
"61",2
"62",2
"63",1
"64",3
"65",2
"66",2
"67",3
"68",2
"69",3
"70",3
"71",3
"72",3
"73",2
"74",1
"75",2
"76",2
"77",2
"78",2
"79",2
"80",2
"81",2
"82",1
"83",3
"84",2
"85",2
"86",3
"87",2
"88",3
"89",3
"90",3
"91",3
"92",3
"93",3
"94",3
"95",1
"96",2
"97",3
"98",2
"99",2
"100",2
"101",1
"102",1
"103",1
"104",2
"105",3
"106",2
"107",2
"108",1
"109",3
"110",2
"111",1
"112",2
"113",1
"114",3
"115",3
"116",2
"117",3
"118",3
"119",2
"120",3
"121",3
"122",2
"123",2
"124",3
"125",2
"126",3
"127",2
"128",3
"129",3
"130",3
"131",2
"132",3
"133",3
"134",3
"135",3
"136",3
"137",2
"138",3
"139",3
"140",3
"141",2
"142",3
"143",3
"144",3
"145",3
"146",3
"147",3
"148",3
"149",3
"150",3
"151",3
"152",3
"153",3
"154",3
"155",2
"156",2
"157",1
"158",2
"159",2
"160",3
"161",3
"162",2
"163",2
"164",3
"165",3
"166",2
"167",3
"168",2
"169",2
"170",3
"171",3
"172",2
"173",3
"174",2
"175",2
"176",2
"177",3
"178",2
"179",2
"180",3
"181",2
"182",2
"183",3
"184",3
"185",3
"186",3
"187",2
"188",3
"189",3
"190",3
"191",2
"192",1
"193",2
"194",2
"195",3
"196",3
"197",3
"198",3
"199",3
"200",2
"201",1
"202",3
"203",2
"204",2
"205",3
"206",3
"207",3
"208",1
"209",3
"210",3
"211",3
"212",3
"213",2
"214",3
"215",3
"216",3
"217",2
"218",1
"219",1
"220",2
"221",3
"222",3
"223",2
"224",2
"225",2
"226",3
"227",2
"228",2
"229",2
"230",3
"231",1
"232",2
"233",3
"234",3
"235",2
"236",2
"237",2
"238",2
"239",2
"240",3
"241",3
"242",2
"243",3
"244",3
"245",2
"246",3
"247",3
"248",2
"249",1
"250",3
"251",3
"252",3
"253",3
"254",3
"255",3
"256",2
"257",2
"258",3
"259",3
"260",3
"261",2
"262",2
"263",2
"264",2
"265",3
"266",3
"267",3
"268",2
"269",2
"270",2
"271",2
"272",1
"273",2
"274",2
"275",3
"276",2
"277",2
"278",2
"279",2
"280",2
"281",2
"282",2
"283",3
"284",2
"285",2
"286",3
"287",2
"288",2
"289",2
"290",1
"291",2
"292",3
"293",3
"294",2
"295",3
"296",3
"297",3
"298",2
"299",3
"300",2
"301",2
"302",2
"303",3
"304",2
"305",2
"306",3
"307",3
"308",2
"309",3
"310",3
"311",3
"312",2
"313",2
"314",2
"315",2
"316",2
"317",2
"318",2
"319",3
"320",2
"321",2
"322",3
"323",2
"324",2
"325",2
"326",2
"327",3
"328",3
"329",1
"330",2
"331",3
"332",3
"333",3
"334",3
"335",3
"336",3
"337",2
"338",2
"339",2
"340",2
"341",2
"342",2
"343",1
"344",1
"345",3
"346",2
"347",2
"348",3
"349",2
"350",2
"351",3
"352",2
"353",3
"354",3
"355",2
"356",2
"357",2
"358",2
"359",2
"360",3
"361",3
"362",3
"363",3
"364",2
"365",2
"366",3
"367",2
"368",3
"369",3
"370",2
"371",2
"372",1
"373",1
"374",2
"375",2
"376",3
"377",2
"378",2
"379",2
"380",2
"381",3
"382",3
"383",2
"384",1
"385",2
"386",2
"387",3
"388",2
"389",3
"390",2
"391",3
"392",2
"393",2
"394",2
"395",2
"396",2
"397",2
"398",2
"399",2
"400",2
"401",2
"402",3
"403",3
"404",2
"405",2
"406",2
"407",2
"408",3
"409",2
"410",3
"411",2
"412",2
"413",1
"414",2
"415",2
"416",2
"417",2
"418",2
"419",3
"420",1
"421",2
"422",3
"423",3
"424",3
"425",3
"426",3
"427",1
"428",1
"429",2
"430",3
"431",3
"432",2
"433",1
"434",2
"435",2
"436",3
"437",2
"438",3
"439",2
"440",2
"441",3
"442",2
"443",3
"444",2
"445",3
"446",2
"447",2
"448",3
"449",2
"450",3
"451",3
"452",2
"453",2
"454",3
"455",3
"456",2
"457",2
"458",3
"459",3
"460",2
"461",3
"462",3
"463",2
"464",3
"465",3
"466",3
"467",3
"468",2
"469",2
"470",2
"471",2
"472",2
"473",2
"474",2
"475",2
"476",2
"477",2
"478",2
"479",2
"480",2
"481",2
"482",3
"483",2
"484",2
"485",3
"486",2
"487",2
"488",2
"489",2
"490",2
"491",2
