roberta_neg,roberta_neu,roberta_pos,Reviews,Aspect
0.05337435,0.51092356,0.4357021,settings perfect hair types,Adaptability
0.2292323,0.66106504,0.109702654,lots settings,Adaptability
0.6840739,0.2903656,0.025560452,heating element died,Durability
0.04506965,0.76474005,0.19019036,also diffuser stay,Ease of Use
0.0850474,0.7608213,0.15413134,wo stay flys see one work,Ease of Use
0.020687342,0.57369536,0.40561727,complaint concentrator fit perfectly pop middle everything,Ease of Use
0.09619705,0.85583407,0.0479689,burns clients medium setting,Ergonomics
0.04506965,0.76474005,0.19019036,also diffuser stay,Interference
0.0850474,0.7608213,0.15413134,wo stay flys see one work,Interference
0.23997469,0.5949915,0.16503379,get hot sweaty either,Interference
0.020687342,0.57369536,0.40561727,complaint concentrator fit perfectly pop middle everything,Interference
0.05629706,0.3164421,0.6272608,oh hair frizzy either best beauty purchase ever made,Interference
0.0836817,0.7388114,0.17750695,quiet make feel like standing next jet engine,Interference
0.20446649,0.682265,0.113268495,without frizz,Interference
0.0850474,0.7608213,0.15413134,wo stay flys see one work,Performance
0.006247567,0.08693596,0.9068164,best dryer ever bought,Performance
0.082456194,0.7293326,0.18821122,get hot enough low setting,Performance
0.020687342,0.57369536,0.40561727,complaint concentrator fit perfectly pop middle everything,Performance
0.01077847,0.18194987,0.8072717,dryer excellent,Performance
0.009825346,0.1479441,0.84223056,great hair,Performance
0.034918454,0.72328156,0.2418,way effective ones used,Performance
0.11269983,0.81731,0.069990195,dries hair quickly,Use Efficiency
0.06984909,0.88235694,0.04779404,dries medium length hair quickly,Use Efficiency
0.14334856,0.7705062,0.08614525,dries fast without lot heat,Use Efficiency
0.1378356,0.7790963,0.08306809,dries hair half time,Use Efficiency
0.11096171,0.7646659,0.124372475,drys hair fast,Use Efficiency
0.81469584,0.16240129,0.022902856,attractive,Aesthetics
0.81469584,0.16240129,0.022902856,attractive,Aesthetics
0.0055314517,0.22201048,0.7724581,stay together well,Durability
0.005026176,0.16673441,0.82823944,cleans highly recommended,Ease of Reprocessing
0.75304383,0.22994241,0.017013747,writing left days gets stuck,Ease of Reprocessing
0.67570055,0.29220432,0.032095127,increasingly difficult wipe,Ease of Reprocessing
0.111182526,0.67154133,0.21727614,would come,Ease of Reprocessing
0.066264294,0.4627006,0.47103506,board wipes pretty easily,Ease of Reprocessing
0.006567345,0.07569212,0.9177405,great desk work,Ease of Storage
0.14655618,0.69802165,0.15542214,small,Ease of Storage
0.08954685,0.62348557,0.2869676,convenient,Ease of Use
0.008004382,0.53855395,0.45344168,dry erase marker easily fits top section keep way desk,Ease of Use
0.21544905,0.6563735,0.12817742,conveneint,Ease of Use
0.7449673,0.23155063,0.023482077,handy little tool,Ease of Use
0.11615839,0.665744,0.21809767,pretty wobbly,Interference
0.25908497,0.46185696,0.27905813,functional,Performance
0.0371078,0.53729355,0.42559865,fully functional,Performance
0.004331915,0.09938305,0.89628506,great daily list,Performance
0.06286106,0.3917286,0.54541034,board good quality,Performance
0.008317997,0.1981783,0.7935037,however work good hot beverages,Adaptability
0.012176875,0.21485169,0.77297145,sometimes like drink hot tea great replacement use hot without worrying melted plastic fits well hole bit smaller length still comfortable drink,Adaptability
0.14975664,0.6704675,0.17977582,come different sizes,Adaptability
0.81469584,0.16240129,0.022902856,attractive,Aesthetics
0.008866592,0.07014144,0.920992,beautiful,Aesthetics
0.008866592,0.07014144,0.920992,beautiful,Aesthetics
0.22027048,0.5611728,0.21855673,durable,Durability
0.07314631,0.49572822,0.43112555,easy clean,Ease of Reprocessing
0.07314631,0.49572822,0.43112555,easy clean,Ease of Reprocessing
0.07314631,0.49572822,0.43112555,easy clean,Ease of Reprocessing
0.06946985,0.50307465,0.42745554,easy use,Ease of Use
0.063523605,0.84719586,0.08928061,bamboo natural texture like cold metal,Ergonomics
0.22744177,0.7191428,0.05341548,taste wood,Interference
0.1860423,0.7259813,0.08797633,threw bamboo taste strong go away cycles dishwasher,Interference
0.003917473,0.054017678,0.9420649,straws awesome,Performance
0.0069422494,0.072823934,0.92023385,work great,Performance
0.004138849,0.0967918,0.8990693,work great cold beverages,Performance
0.14680195,0.70045966,0.15273838,reasonable price,Price
0.08354636,0.57767403,0.33877957,worth buy,Price
0.36454785,0.54163593,0.093816176,perfect small trash cans even storing items want use plastic,Adaptability
0.009742852,0.330193,0.66006416,fit perfectly full circle fresh air kitchen compost collector,Adaptability
0.90561503,0.08426316,0.010121815,big sink trash collector,Adaptability
0.7205214,0.26703987,0.012438704,every time remove bag compost bin broken leaking fluids,Durability
0.46236807,0.43567547,0.101956435,fragile,Durability
0.2625588,0.5855172,0.151924,tear,Durability
0.23444597,0.580355,0.18519896,rip,Durability
0.06484509,0.47159773,0.46355718,strong,Durability
0.0051528313,0.13563102,0.85921615,bags hold really well,Durability
0.22027048,0.5611728,0.21855673,durable,Durability
0.4780127,0.47973502,0.042252306,bags rip break easily,Durability
0.009650054,0.5188752,0.4714748,sturdy enough hold together fairly full,Durability
0.24252513,0.61674106,0.14073384,still work,Performance
0.008686659,0.13860492,0.85270846,great composter bags,Performance
0.058178496,0.3083001,0.63352144,great,Performance
0.044645168,0.52903175,0.42632306,work ok,Performance
0.2032735,0.49244907,0.30427745,actually job,Performance
0.046412524,0.2782583,0.67532915,price good,Price
0.049087554,0.82739466,0.12351775,used start variety herbs seed,Adaptability
0.029501555,0.4159025,0.55459595,perfect size fit windowsills,Adaptability
0.5627102,0.41367656,0.023613209,get wet fall apart,Durability
0.3686397,0.4888868,0.14247344,flimsy,Durability
0.56766367,0.40246212,0.029874299,way flimsy break easily,Durability
0.009687511,0.37391922,0.61639327,instructions clear easy use,Ease of Use
0.0060600233,0.36651364,0.6274263,transplanting imto larger planter easy,Ease of Use
0.06946985,0.50307465,0.42745554,easy use,Ease of Use
0.06946985,0.50307465,0.42745554,easy use,Ease of Use
0.06946985,0.50307465,0.42745554,easy use,Ease of Use
0.15265915,0.5035454,0.34379545,easy,Ease of Use
0.016740069,0.3806775,0.60258245,simple easy use,Ease of Use
0.011239882,0.1015363,0.88722384,good product,Performance
0.0032843703,0.20661446,0.7901011,great starting seeds transplanting sprouts later,Performance
0.53456724,0.44186792,0.023564808,herbs thriving pots slowly disintegrate potting soil planter,Performance
0.009299237,0.17193496,0.8187658,perfect product growing anything seed,Performance
0.15491,0.67244375,0.17264625,worked like said,Performance
0.05124503,0.46388435,0.4848706,works ok,Performance
0.043622017,0.7586334,0.19774458,although price comparatively low,Price
0.03998683,0.2915108,0.66850233,good price,Price
0.04368938,0.27100584,0.68530476,great price,Price
0.12719166,0.7767937,0.09601462,seeds popped less week,Use Efficiency
0.014784829,0.6948307,0.29038447,seeds germinated quickly grew,Use Efficiency
0.0436839,0.87903017,0.07728589,sprouted within week two,Use Efficiency
0.20369507,0.7562582,0.04004665,like way slight conform washing,Adaptability
0.22027048,0.5611728,0.21855673,durable,Durability
0.6879695,0.28902817,0.02300235,problems disintegration,Durability
0.72470397,0.26255447,0.012741537,scrubber part fall apart rather quickly,Durability
0.22027048,0.5611728,0.21855673,durable,Durability
0.14045753,0.6301584,0.22938405,last long,Durability
0.22027048,0.5611728,0.21855673,durable,Durability
0.41074795,0.53907484,0.05017724,like throw washing machine,Ease of Reprocessing
0.046258595,0.6948814,0.25885996,easily microwave,Ease of Reprocessing
0.01469988,0.5993431,0.38595706,easily washes top rack dishwasher,Ease of Reprocessing
0.11453706,0.54919034,0.33627257,rinse super easily,Ease of Reprocessing
0.06946985,0.50307465,0.42745554,easy use,Ease of Use
0.8685836,0.11850814,0.012908268,never get stinky smell anymore,Interference
0.8286903,0.15969348,0.011616242,problems disintegration smell,Interference
0.8526947,0.13918398,0.008121359,smell toxic package,Interference
0.432008,0.5145256,0.05346644,smell time like sponges,Interference
0.011069426,0.1407996,0.84813094,best kitchen sponges ever,Performance
0.25040856,0.45703864,0.29255283,effective,Performance
0.071790636,0.6218976,0.30631182,perform well sponges used years,Performance
0.16930771,0.4961221,0.33457014,great sponges,Performance
0.11088588,0.5816045,0.3075097,dream work,Performance
0.046703234,0.3731091,0.5801877,wonderful sponges,Performance
0.73096067,0.24164878,0.027390499,oh expensive,Price
